rank,school_name,school_city,school_state,rating,score,earnings_10yr,pred_earnings_10yr_ols,public,score_sat_act,pell_grant_pct,born_in_usa_pct,female_pct,region_high_inc,urban_area,enrollment,black_or_hispanic_pct,overage23,median_hh_income,avg_sat_2011,median_act_2011,avg_net_price_2011,avg_net_price_lowinc_2011,admission_rate_2011,completion_rate_6yr_2011
556,Black Hills State University,Spearfish,SD,3.0,-0.03,34400.0,34516.0,1,-0.75,0.63,0.97,0.64,0,0,3179.0,0.04,0.25,48172.0,990.0,21.0,13643.0,11380.0,0.94,0.29
557,Howard Payne University,Brownwood,TX,3.0,-0.03,37300.0,37404.0,0,-0.61,0.64,0.92,0.49,0,0,1521.0,0.3,0.16,52933.0,990.0,21.0,16230.0,13916.0,0.69,0.46
558,Washburn University,Topeka,KS,3.0,-0.03,37900.0,38035.0,1,-0.25,0.63,0.96,0.63,0,1,5098.0,0.13,0.33,56756.0,1030.0,22.0,12663.0,10638.0,1.0,0.38
559,Graceland University-Lamoni,Lamoni,IA,3.0,-0.03,36600.0,36730.0,0,-0.58,0.57,0.95,0.61,0,0,1145.0,0.12,0.23,54498.0,1000.0,22.0,12916.0,10253.0,0.5,0.51
560,Temple University,Philadelphia,PA,3.0,-0.03,46500.0,46640.0,1,-0.19,0.54,0.89,0.59,1,1,18834.0,0.29,0.18,63853.0,1107.0,24.0,19693.0,16022.0,0.63,0.68
561,University of Northern Iowa,Cedar Falls,IA,3.0,-0.03,41700.0,41843.0,1,0.08,0.47,0.97,0.58,0,1,12680.0,0.05,0.07,55406.0,1090.0,24.0,14324.0,10888.0,0.77,0.67
562,The College of Wooster,Wooster,OH,3.0,-0.03,44400.0,44554.0,0,0.93,0.37,0.94,0.55,0,0,1791.0,0.11,0.01,66195.0,1220.0,27.0,20327.0,10010.0,0.61,0.75
563,Scripps College,Claremont,CA,3.0,-0.03,47200.0,47354.0,0,1.65,0.35,0.82,0.96,1,1,786.0,0.2,0.07,73380.0,1363.0,31.0,22676.0,11631.0,0.36,0.88
564,Mississippi College,Clinton,MS,3.0,-0.04,38200.0,38346.0,0,0.25,0.58,0.98,0.61,0,1,1989.0,0.35,0.18,53048.0,1104.0,24.0,13305.0,11462.0,0.44,0.51
565,Sonoma State University,Rohnert Park,CA,3.0,-0.04,45600.0,45782.0,1,-0.33,0.55,0.83,0.66,1,1,6411.0,0.2,0.33,74160.0,1023.0,22.0,14391.0,8790.0,0.81,0.57
566,University of Nebraska at Omaha,Omaha,NE,3.0,-0.04,41800.0,41967.0,1,-0.25,0.52,0.95,0.56,0,1,10790.0,0.12,0.2,64145.0,1050.0,23.0,11384.0,8385.0,0.76,0.43
567,Barton College,Wilson,NC,3.0,-0.05,36500.0,36701.0,0,-1.04,0.51,0.93,0.71,0,1,1219.0,0.32,0.22,58198.0,914.0,20.0,21276.0,18269.0,0.52,0.47
568,Shippensburg University of Pennsylvania,Shippensburg,PA,3.0,-0.05,45200.0,45444.0,1,-0.0,0.41,0.96,0.54,1,1,6196.0,0.08,0.05,64409.0,970.0,20.0,15862.0,11481.0,0.8,0.6
569,University of Wisconsin-Oshkosh,Oshkosh,WI,3.0,-0.05,40500.0,40711.0,1,-0.25,0.48,0.97,0.59,0,1,9173.0,0.04,0.13,64119.0,1030.0,22.0,13581.0,8934.0,0.84,0.5
570,Montana State University,Bozeman,MT,3.0,-0.06,39700.0,39963.0,1,0.21,0.64,0.96,0.48,0,0,10387.0,0.03,0.2,51915.0,1121.0,25.0,14736.0,12227.0,0.61,0.51
571,Trinity College,Hartford,CT,3.0,-0.06,56100.0,56456.0,0,1.78,0.36,0.84,0.55,1,1,2011.0,0.21,0.08,81499.0,1265.0,28.0,24757.0,10194.0,0.3,0.86
572,Baldwin Wallace University,Berea,OH,3.0,-0.06,44000.0,44266.0,0,0.4,0.39,0.94,0.6,0,1,3285.0,0.08,0.13,64777.0,1097.0,24.0,19082.0,15396.0,0.63,0.7
573,University of Science and Arts of Oklahoma,Chickasha,OK,3.0,-0.06,30700.0,30904.0,1,-0.75,0.81,0.96,0.64,0,0,1225.0,0.11,0.25,44270.0,1070.0,23.0,5409.0,3111.0,0.27,0.39
574,Oregon State University,Corvallis,OR,3.0,-0.06,46400.0,46706.0,1,0.15,0.57,0.91,0.5,1,1,14607.0,0.09,0.15,60052.0,1090.0,24.0,16490.0,12796.0,0.81,0.61
575,Jackson State University,Jackson,MS,3.0,-0.06,29500.0,29681.0,1,-1.57,0.87,0.97,0.61,0,1,5741.0,0.62,0.2,42595.0,890.0,19.0,12020.0,11788.0,0.31,0.4
576,Bethel University,McKenzie,TN,3.0,-0.06,35200.0,35432.0,0,-1.91,0.64,0.97,0.57,0,0,190.0,0.19,0.58,48465.0,912.0,19.0,15294.0,14620.0,0.48,0.32
577,Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,3.0,-0.06,46800.0,47086.0,0,-0.54,0.52,0.78,0.59,1,1,4954.0,0.29,0.14,80204.0,980.0,,17915.0,15156.0,0.58,0.42
578,Catholic University of America,Washington,DC,3.0,-0.06,54500.0,54849.0,0,0.78,0.27,0.87,0.56,1,1,2549.0,0.22,0.1,83818.0,1114.0,25.0,34260.0,31026.0,0.87,0.68
